,TPR_3,FPR_3
1e-40,0.029069767441860465,0.0008912760493016147
1e-39,0.029069767441860465,0.0009264579986161259
1e-38,0.029069767441860465,0.0009499126314925777
1e-37,0.029069767441860465,0.0009968218972452592
1e-36,0.029069767441860465,0.0010085492136834295
1e-35,0.029069767441860465,0.0010202765301216
1e-34,0.03488372093023256,0.0010437311629979407
1e-33,0.03488372093023256,0.001055458479436111
1e-32,0.03488372093023256,0.0010789131123125628
1e-31,0.040697674418604654,0.0010906404287507332
1e-30,0.040697674418604654,0.0011023677451889036
1e-29,0.040697674418604654,0.0011375496945034147
1e-28,0.040697674418604654,0.0011610043273797555
1e-27,0.040697674418604654,0.001207913593132437
1e-26,0.046511627906976744,0.0012548228588852295
1e-25,0.05813953488372093,0.0012900048081997406
1e-24,0.0755813953488372,0.0013369140739524221
1e-23,0.0872093023255814,0.0014072779725815554
1e-22,0.09302325581395349,0.0014424599218960665
1e-21,0.09302325581395349,0.0015010965040869184
1e-20,0.12209302325581395,0.0015362784534015406
1e-19,0.13372093023255813,0.0016183696684687332
1e-18,0.16279069767441862,0.001677006250659696
1e-17,0.18604651162790697,0.001735642832850548
1e-16,0.19767441860465115,0.0018060067314796813
1e-15,0.19767441860465115,0.0018529159972323628
1e-14,0.20930232558139536,0.001923279895861385
1e-13,0.21511627906976744,0.0019701891616141776
1e-12,0.21511627906976744,0.00205228037668137
1e-11,0.21511627906976744,0.002134371591748674
1e-10,0.21511627906976744,0.002228190123254148
1e-09,0.21511627906976744,0.002322008654759511
1e-08,0.21511627906976744,0.0025213730342086293
1e-07,0.21511627906976744,0.002732464730095807
1e-06,0.21511627906976744,0.002943556425983096
1e-05,0.21511627906976744,0.003096011539679422
0.0001,0.21511627906976744,0.003225012020499296
0.001,0.21511627906976744,0.0035416495643302293
0.01,0.22093023255813954,0.0038231051588465403
0.1,0.25,0.004116288069801022
1.0,0.26744186046511625,0.004456380246508185
10.0,0.31976744186046513,0.0049137455875971625
100.0,0.37790697674418605,0.005382838245124422
1000.0,0.4127906976744186,0.005945749434156933
10000.0,0.45348837209302323,0.006708025002638673
100000.0,0.4941860465116279,0.007376482039614829
1000000.0,0.563953488372093,0.008232576139601933
10000000.0,0.6104651162790697,0.00941703509985814
100000000.0,0.6337209302325582,0.010683585275181429
1000000000.0,0.6976744186046512,0.01250131932309928
10000000000.0,0.7267441860465116,0.01505787430662242
100000000000.0,0.7558139534883721,0.01863470582026716
1000000000000.0,0.7906976744186046,0.024123089913335116
10000000000000.0,0.8255813953488372,0.03309448698854245
100000000000000.0,0.8837209302325582,0.04742526767599775
1000000000000000.0,0.8953488372093024,0.06930844014964055
1e+16,0.9011627906976745,0.09772372787934935
1e+17,0.9069767441860465,0.1295868466418829
1e+18,0.9127906976744186,0.15643067396887567
1e+19,0.9186046511627907,0.1787125752014167
1e+20,0.9186046511627907,0.19088552966424688
1e+21,0.9244186046511628,0.20110002228190127
1e+22,0.9302325581395349,0.21290942993514794
1.0000000000000001e+23,0.9302325581395349,0.22699393697740144
1e+24,0.9302325581395349,0.24302517854839278
1e+25,0.936046511627907,0.26114388244538
1e+26,0.9534883720930233,0.2824172344642375
1e+27,0.9593023255813954,0.3088857876652086
1e+28,0.9593023255813954,0.3410420893386966
1e+29,0.9651162790697675,0.38111432960795577
1e+30,0.9709302325581395,0.43457916524961593
1e+31,0.9709302325581395,0.5032426029951567
1e+32,0.9825581395348837,0.5757174185831057
1e+33,0.9883720930232558,0.6572457224613292
1e+34,0.9883720930232558,0.7213824160617326
1e+35,0.9941860465116279,0.7585697364871996
1e+36,0.9941860465116279,0.8055141841892319
1e+37,1.0,0.8695101499923772
1e+38,1.0,0.9424071489721008
1e+39,1.0,0.9963058953219734
1e+40,1.0,1.0
